Station Name,State,Latitude,Longitude,Year,Total Days
ANDREWS AIR FORCE BASE AIRPORT,MD,38.817,-76.867,2014,27
TULSA INTERNATIONAL AIRPORT,OK,36.199,-95.878,2014,27
HARRISBURG INTERNATIONAL AIRPORT,PA,40.196,-76.772,2014,26
JUNEAU INTERNATIONAL,AK,58.354,-134.556,2014,26
PITTSBURGH INTERNATIONAL AIRPORT,PA,40.485,-80.214,2014,26
SPOKANE INTERNATIONAL AIRPORT,WA,47.622,-117.528,2014,26
WICHITA EISENHOWER NATIONAL,KS,37.648,-97.43,2014,26
FORT WAYNE INTERNATIONAL AIRPORT,IN,40.972,-85.206,2014,25
BALTIMORE-WASHINGTON INTL AIRPORT,MD,39.173,-76.684,2014,24
CLEVELAND-HOPKINS INTERNATIONAL AP,OH,41.406,-81.852,2014,24
KANSAS CITY INTERNATIONAL AIRPORT,MO,39.297,-94.731,2014,24
NORFOLK INTERNATIONAL AIRPORT,VA,36.904,-76.193,2014,24
WILL ROGERS WORLD AIRPORT,OK,35.388,-97.6,2014,24
NWPT NEWS/WIMBURG INTL APT,VA,37.132,-76.494,2014,23
RONALD REAGAN WASHINGTON NATL AP,VA,38.847,-77.035,2014,23
WASHINGTON DULLES INTERNATIONAL AP,VA,38.935,-77.447,2014,23
LITTLE ROCK AFB AIRPORT,AR,34.917,-92.15,2014,21
RICHMOND INTERNATIONAL AIRPORT,VA,37.512,-77.323,2014,21
YEAGER AIRPORT,WV,38.38,-81.591,2014,21
CHARLOTTESVILLE ALBEMARLE ARPT,VA,38.137,-78.455,2014,20
J.M.COX DAYTON INTERNATIONAL AIRPORT,OH,39.906,-84.219,2014,20
TED STEVENS ANCHORAGE INTL,AK,61.169,-150.028,2014,20
PORT COLUMBUS INTERNATIONAL AIRPORT,OH,39.991,-82.877,2014,19
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,47.445,-122.314,2014,19
DALLAS/FT WORTH INTERNATIONAL AP,TX,32.897,-97.022,2014,18
LOUISVILLE INTL-STANDIFORD FIELD AP,KY,38.177,-85.731,2014,18
FAIRBANKS INTERNATIONAL,AK,64.803,-147.876,2014,16
PIEDMONT TRIAD INTERNATIONAL AIRPORT,NC,36.097,-79.943,2014,16
RENO/TAHOE INTERNATIONAL AIRPORT,NV,39.508,-119.768,2014,16
CINCINNATI/NORTHERN KENTUCKY INTL AP,KY,39.044,-84.672,2014,15
INDIANAPOLIS INTERNATIONAL AIRPORT,IN,39.725,-86.282,2014,15
NASHVILLE INTERNATIONAL AIRPORT,TN,36.111,-86.688,2014,15
RALEIGH-DURHAM INTERNATIONAL AP,NC,35.892,-78.782,2014,15
WILMINGTON INTERNATIONAL AIRPORT,NC,34.267,-77.9,2014,15
CHARLOTTE/DOUGLAS INTERNATIONAL AP,NC,35.223,-80.954,2014,14
SALT LAKE CITY INTERNATIONAL AIRPORT,UT,40.771,-111.965,2014,14
BOISE AIR TERMINAL/GOWEN FD AIRPORT,ID,43.567,-116.241,2014,13
GREENVILLE-SPARTANBURG INTL AIRPORT,SC,34.906,-82.213,2014,13
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,AL,34.644,-86.786,2014,13
AUSTIN-BERGSTROM INTL AIRPORT,TX,30.183,-97.68,2014,12
PORTLAND INTERNATIONAL AIRPORT,OR,45.596,-122.609,2014,12
MEMPHIS INTERNATIONAL AIRPORT,TN,35.056,-89.986,2014,11
CHARLESTON AFB/INTERNATIONAL AIRPORT,SC,32.899,-80.041,2014,10
MAHLON SWEET FIELD AIRPORT,OR,44.133,-123.216,2014,9
HARTSFIELD-JACKSON ATLANTA INTL AP,GA,33.63,-84.442,2014,8
BIRMINGHAM INTERNATIONAL AIRPORT,AL,33.565,-86.745,2014,7
JACKSON INTERNATIONAL AIRPORT,MS,32.32,-90.078,2014,7
SAVANNAH/HILTON HEAD INTL AIRPORT,GA,32.131,-81.202,2014,7
MCCARRAN INTERNATIONAL AIRPORT,NV,36.072,-115.163,2014,6
SAN ANTONIO INTERNATIONAL AIRPORT,TX,29.544,-98.484,2014,5
SHREVEPORT REGIONAL AIRPORT,LA,32.447,-93.824,2014,5
JACKSONVILLE INTERNATIONAL AIRPORT,FL,30.495,-81.694,2014,4
PENSACOLA REGIONAL AIRPORT,FL,30.476,-87.186,2014,3
PHOENIX SKY HARBOR INTL AIRPORT,AZ,33.428,-112.004,2014,3
GULFPORT-BILOXI INTL ARPT,MS,30.412,-89.081,2014,2
LOS ANGELES INTERNATIONAL AIRPORT,CA,33.938,-118.387,2014,2
TUCSON INTERNATIONAL AIRPORT,AZ,32.132,-110.956,2014,2
FRESNO YOSEMITE INTERNATIONAL AIRPORT,CA,36.78,-119.72,2014,1
KAHULUI AIRPORT,HI,20.889,-156.435,2014,1
LOUIS ARMSTRONG NEW ORLEANS INTL AP,LA,29.998,-90.278,2014,1
ORLANDO INTERNATIONAL AIRPORT,FL,28.418,-81.324,2014,1
SACRAMENTO INTL AIRPORT,CA,38.701,-121.595,2014,1
SAN FRANCISCO INTERNATIONAL AIRPORT,CA,37.62,-122.366,2014,1
TAMPA INTERNATIONAL AIRPORT,FL,27.963,-82.54,2014,1
FT LAUD/HOLLYWOOD INTL APT,FL,26.079,-80.162,2014,0
G BUSH INTERCONTINENTAL AP/HOUSTON AP,TX,29.984,-95.361,2014,0
HONOLULU INTERNATIONAL AIRPORT,HI,21.324,-157.939,2014,0
J. WAYNE APT-ORANGE CO APT,CA,33.68,-117.867,2014,0
LIHUE AIRPORT,HI,21.98,-159.339,2014,0
MIAMI INTERNATIONAL AIRPORT,FL,25.788,-80.317,2014,0
ONTARIO INTERNATIONAL ARPT,CA,34.053,-117.577,2014,0
SAN DIEGO INTERNATIONAL AIRPORT,CA,32.734,-117.183,2014,0
SANTA BARBARA MUNICIPAL AIRPORT,CA,34.424,-119.842,2014,0
AUSTIN STRAUBEL INTERNATIONAL AP,WI,44.48,-88.137,2015,50
PORTLAND INTERNATIONAL JETPORT AP,ME,43.642,-70.304,2015,50
THEODORE F GREEN STATE AIRPORT,RI,41.723,-71.432,2015,47
GEN E L LOGAN INTERNATIONAL AIRPORT,MA,42.361,-71.01,2015,45
MANCHESTER AIRPORT,NH,42.93,-71.436,2015,45
BURLINGTON INTERNATIONAL AIRPORT,VT,44.468,-73.15,2015,44
CITY OF COLORADO SPRINGS MUNICIPAL AP,CO,38.809,-104.689,2015,43
BRADLEY INTERNATIONAL AIRPORT,CT,41.937,-72.682,2015,39
GREATER ROCHESTER INTERNATIONAL AP,NY,43.117,-77.675,2015,38
ATLANTIC CITY INTERNATIONAL AIRPORT,NJ,39.452,-74.567,2015,37
BUFFALO NIAGARA INTERNATIONAL AP,NY,42.94,-78.736,2015,37
JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.764,2015,37
LA GUARDIA AIRPORT,NY,40.779,-73.88,2015,37
ALBANY INTERNATIONAL AIRPORT,NY,42.747,-73.799,2015,36
ANDREWS AIR FORCE BASE AIRPORT,MD,38.817,-76.867,2015,36
GENERAL MITCHELL INTERNATIONAL AP,WI,42.955,-87.905,2015,36
HECTOR INTERNATIONAL AIRPORT,ND,46.924,-96.812,2015,36
DULUTH INTERNATIONAL AIRPORT,MN,46.844,-92.187,2015,35
GERALD R FORD INTERNATIONAL AIRPORT,MI,42.882,-85.523,2015,35
NEWARK LIBERTY INTERNATIONAL AP,NJ,40.683,-74.169,2015,35
CHICAGO MIDWAY INTL ARPT,IL,41.784,-87.755,2015,34
DETROIT METRO WAYNE COUNTY AIRPORT,MI,42.231,-83.331,2015,34
HARRISBURG INTERNATIONAL AIRPORT,PA,40.196,-76.772,2015,33
PHILADELPHIA INTERNATIONAL AIRPORT,PA,39.873,-75.227,2015,33
TRENTON MERCER AIRPORT,NJ,40.277,-74.816,2015,33
CHICAGO O'HARE INTERNATIONAL AIRPORT,IL,41.96,-87.932,2015,32
EASTERN IOWA REGIONAL AIRPORT,IA,41.883,-91.725,2015,31
JUNEAU INTERNATIONAL,AK,58.354,-134.556,2015,31
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MN,44.885,-93.231,2015,31
SYRACUSE HANCOCK INTERNATIONAL AP,NY,43.111,-76.104,2015,31
DENVER INTERNATIONAL AIRPORT,CO,39.847,-104.656,2015,30
PITTSBURGH INTERNATIONAL AIRPORT,PA,40.485,-80.214,2015,30
WASHINGTON DULLES INTERNATIONAL AP,VA,38.935,-77.447,2015,30
BALTIMORE-WASHINGTON INTL AIRPORT,MD,39.173,-76.684,2015,29
CLEVELAND-HOPKINS INTERNATIONAL AP,OH,41.406,-81.852,2015,28
RONALD REAGAN WASHINGTON NATL AP,VA,38.847,-77.035,2015,28
DES MOINES INTERNATIONAL AIRPORT,IA,41.534,-93.653,2015,27
NATRONA COUNTY INTERNATIONAL AP,WY,42.898,-106.474,2015,27
ALBUQUERQUE INTL SUNPORT AIRPORT,NM,35.042,-106.615,2015,26
FORT WAYNE INTERNATIONAL AIRPORT,IN,40.972,-85.206,2015,26
RICHMOND INTERNATIONAL AIRPORT,VA,37.512,-77.323,2015,26
CINCINNATI/NORTHERN KENTUCKY INTL AP,KY,39.044,-84.672,2015,25
INDIANAPOLIS INTERNATIONAL AIRPORT,IN,39.725,-86.282,2015,25
PORT COLUMBUS INTERNATIONAL AIRPORT,OH,39.991,-82.877,2015,25
TED STEVENS ANCHORAGE INTL,AK,61.169,-150.028,2015,25
ABRAHAM LINCOLN CAPITAL AIRPORT,IL,39.845,-89.684,2015,24
CHARLOTTESVILLE ALBEMARLE ARPT,VA,38.137,-78.455,2015,24
J.M.COX DAYTON INTERNATIONAL AIRPORT,OH,39.906,-84.219,2015,24
JOE FOSS FIELD AIRPORT,SD,43.578,-96.754,2015,24
LAMBERT-ST LOUIS INTERNATIONAL AP,MO,38.752,-90.373,2015,24
LINCOLN MUNICIPAL AIRPORT,NE,40.848,-96.765,2015,24
EPPLEY AIRFIELD AIRPORT,NE,41.312,-95.902,2015,23
KANSAS CITY INTERNATIONAL AIRPORT,MO,39.297,-94.731,2015,23
FAIRBANKS INTERNATIONAL,AK,64.803,-147.876,2015,22
LOUISVILLE INTL-STANDIFORD FIELD AP,KY,38.177,-85.731,2015,22
NORFOLK INTERNATIONAL AIRPORT,VA,36.904,-76.193,2015,22
NWPT NEWS/WIMBURG INTL APT,VA,37.132,-76.494,2015,22
GALLATIN FIELD AIRPORT,MT,45.788,-111.162,2015,21
WICHITA EISENHOWER NATIONAL,KS,37.648,-97.43,2015,20
YEAGER AIRPORT,WV,38.38,-81.591,2015,20
BILLINGS LOGAN INTERNATIONAL AIRPORT,MT,45.807,-108.546,2015,18
TULSA INTERNATIONAL AIRPORT,OK,36.199,-95.878,2015,17
WILL ROGERS WORLD AIRPORT,OK,35.388,-97.6,2015,15
LITTLE ROCK AFB AIRPORT,AR,34.917,-92.15,2015,14
SALT LAKE CITY INTERNATIONAL AIRPORT,UT,40.771,-111.965,2015,13
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,47.445,-122.314,2015,13
RALEIGH-DURHAM INTERNATIONAL AP,NC,35.892,-78.782,2015,12
SPOKANE INTERNATIONAL AIRPORT,WA,47.622,-117.528,2015,12
DALLAS/FT WORTH INTERNATIONAL AP,TX,32.897,-97.022,2015,10
EL PASO INTERNATIONAL AIRPORT,TX,31.812,-106.377,2015,10
PIEDMONT TRIAD INTERNATIONAL AIRPORT,NC,36.097,-79.943,2015,10
PORTLAND INTERNATIONAL AIRPORT,OR,45.596,-122.609,2015,9
WILMINGTON INTERNATIONAL AIRPORT,NC,34.267,-77.9,2015,9
AUSTIN-BERGSTROM INTL AIRPORT,TX,30.183,-97.68,2015,8
BOISE AIR TERMINAL/GOWEN FD AIRPORT,ID,43.567,-116.241,2015,8
CHARLOTTE/DOUGLAS INTERNATIONAL AP,NC,35.223,-80.954,2015,8
MEMPHIS INTERNATIONAL AIRPORT,TN,35.056,-89.986,2015,8
CHARLESTON AFB/INTERNATIONAL AIRPORT,SC,32.899,-80.041,2015,7
NASHVILLE INTERNATIONAL AIRPORT,TN,36.111,-86.688,2015,7
RENO/TAHOE INTERNATIONAL AIRPORT,NV,39.508,-119.768,2015,7
SAN ANTONIO INTERNATIONAL AIRPORT,TX,29.544,-98.484,2015,7
HARTSFIELD-JACKSON ATLANTA INTL AP,GA,33.63,-84.442,2015,6
MCCARRAN INTERNATIONAL AIRPORT,NV,36.072,-115.163,2015,6
SAVANNAH/HILTON HEAD INTL AIRPORT,GA,32.131,-81.202,2015,6
GREENVILLE-SPARTANBURG INTL AIRPORT,SC,34.906,-82.213,2015,5
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,AL,34.644,-86.786,2015,5
MAHLON SWEET FIELD AIRPORT,OR,44.133,-123.216,2015,5
SHREVEPORT REGIONAL AIRPORT,LA,32.447,-93.824,2015,4
BIRMINGHAM INTERNATIONAL AIRPORT,AL,33.565,-86.745,2015,3
GULFPORT-BILOXI INTL ARPT,MS,30.412,-89.081,2015,3
LOUIS ARMSTRONG NEW ORLEANS INTL AP,LA,29.998,-90.278,2015,3
LIHUE AIRPORT,HI,21.98,-159.339,2015,2
PENSACOLA REGIONAL AIRPORT,FL,30.476,-87.186,2015,2
SACRAMENTO INTL AIRPORT,CA,38.701,-121.595,2015,2
FRESNO YOSEMITE INTERNATIONAL AIRPORT,CA,36.78,-119.72,2015,1
JACKSONVILLE INTERNATIONAL AIRPORT,FL,30.495,-81.694,2015,1
ORLANDO INTERNATIONAL AIRPORT,FL,28.418,-81.324,2015,1
PHOENIX SKY HARBOR INTL AIRPORT,AZ,33.428,-112.004,2015,1
SAN FRANCISCO INTERNATIONAL AIRPORT,CA,37.62,-122.366,2015,1
TAMPA INTERNATIONAL AIRPORT,FL,27.963,-82.54,2015,1
TUCSON INTERNATIONAL AIRPORT,AZ,32.132,-110.956,2015,1
FT LAUD/HOLLYWOOD INTL APT,FL,26.079,-80.162,2015,0
G BUSH INTERCONTINENTAL AP/HOUSTON AP,TX,29.984,-95.361,2015,0
HONOLULU INTERNATIONAL AIRPORT,HI,21.324,-157.939,2015,0
J. WAYNE APT-ORANGE CO APT,CA,33.68,-117.867,2015,0
JACKSON INTERNATIONAL AIRPORT,MS,32.32,-90.078,2015,0
KAHULUI AIRPORT,HI,20.889,-156.435,2015,0
LOS ANGELES INTERNATIONAL AIRPORT,CA,33.938,-118.387,2015,0
MIAMI INTERNATIONAL AIRPORT,FL,25.788,-80.317,2015,0
ONTARIO INTERNATIONAL ARPT,CA,34.053,-117.577,2015,0
SAN DIEGO INTERNATIONAL AIRPORT,CA,32.734,-117.183,2015,0
SANTA BARBARA MUNICIPAL AIRPORT,CA,34.424,-119.842,2015,0
CITY OF COLORADO SPRINGS MUNICIPAL AP,CO,38.809,-104.689,2016,54
PORTLAND INTERNATIONAL JETPORT AP,ME,43.642,-70.304,2016,49
GEN E L LOGAN INTERNATIONAL AIRPORT,MA,42.361,-71.01,2016,42
MANCHESTER AIRPORT,NH,42.93,-71.436,2016,42
BURLINGTON INTERNATIONAL AIRPORT,VT,44.468,-73.15,2016,41
THEODORE F GREEN STATE AIRPORT,RI,41.723,-71.432,2016,40
ALBANY INTERNATIONAL AIRPORT,NY,42.747,-73.799,2016,38
BRADLEY INTERNATIONAL AIRPORT,CT,41.937,-72.682,2016,38
DENVER INTERNATIONAL AIRPORT,CO,39.847,-104.656,2016,38
HECTOR INTERNATIONAL AIRPORT,ND,46.924,-96.812,2016,38
GREATER ROCHESTER INTERNATIONAL AP,NY,43.117,-77.675,2016,37
ALBUQUERQUE INTL SUNPORT AIRPORT,NM,35.042,-106.615,2016,36
AUSTIN STRAUBEL INTERNATIONAL AP,WI,44.48,-88.137,2016,36
LINCOLN MUNICIPAL AIRPORT,NE,40.848,-96.765,2016,36
BUFFALO NIAGARA INTERNATIONAL AP,NY,42.94,-78.736,2016,34
